Algorithm,Data Size,Data Type,Memory (KB)
Quick Sort,1000,random,8.74
Merge Sort,1000,random,15.79
Heap Sort,1000,random,8.04
Shell Sort,1000,random,8.0
Radix Sort,1000,random,24.65
Quick Sort,1000,partial,8.45
Merge Sort,1000,partial,15.79
Heap Sort,1000,partial,8.04
Shell Sort,1000,partial,8.0
Radix Sort,1000,partial,24.71
Quick Sort,1000,reverse,8.38
Merge Sort,1000,reverse,15.79
Heap Sort,1000,reverse,8.04
Shell Sort,1000,reverse,8.0
Radix Sort,1000,reverse,24.71
Quick Sort,10000,random,78.83
Merge Sort,10000,random,156.41
Heap Sort,10000,random,78.35
Shell Sort,10000,random,78.34
Radix Sort,10000,random,239.89
Quick Sort,10000,partial,78.78
Merge Sort,10000,partial,156.41
Heap Sort,10000,partial,78.35
Shell Sort,10000,partial,78.32
Radix Sort,10000,partial,239.89
Quick Sort,10000,reverse,78.83
Merge Sort,10000,reverse,156.41
Heap Sort,10000,reverse,78.35
Shell Sort,10000,reverse,78.32
Radix Sort,10000,reverse,239.89
Quick Sort,100000,random,782.12
Merge Sort,100000,random,1562.66
Heap Sort,100000,random,781.47
Shell Sort,100000,random,781.47
Radix Sort,100000,random,2345.2
Quick Sort,100000,partial,782.12
Merge Sort,100000,partial,1562.66
Heap Sort,100000,partial,781.47
Shell Sort,100000,partial,781.47
Radix Sort,100000,partial,2345.18
Quick Sort,100000,reverse,782.09
Merge Sort,100000,reverse,1562.66
Heap Sort,100000,reverse,781.47
Shell Sort,100000,reverse,781.47
Radix Sort,100000,reverse,2345.17
