Algorithm,Data Size,Data Type,Time (ms)
Quick Sort,1000,random,1.1662
Merge Sort,1000,random,2.0993
Heap Sort,1000,random,2.3453
Shell Sort,1000,random,1.4846
Radix Sort,1000,random,1.1555
Quick Sort,1000,partial,1.0724
Merge Sort,1000,partial,1.0584
Heap Sort,1000,partial,2.6693
Shell Sort,1000,partial,1.2442
Radix Sort,1000,partial,1.2159
Quick Sort,1000,reverse,1.3176
Merge Sort,1000,reverse,2.0267
Heap Sort,1000,reverse,2.1955
Shell Sort,1000,reverse,1.3289
Radix Sort,1000,reverse,5.4812
Quick Sort,10000,random,17.1598
Merge Sort,10000,random,29.6428
Heap Sort,10000,random,35.5225
Shell Sort,10000,random,28.219
Radix Sort,10000,random,16.5549
Quick Sort,10000,partial,14.7372
Merge Sort,10000,partial,11.6175
Heap Sort,10000,partial,34.8178
Shell Sort,10000,partial,19.5058
Radix Sort,10000,partial,16.8965
Quick Sort,10000,reverse,13.6509
Merge Sort,10000,reverse,23.481
Heap Sort,10000,reverse,30.5646
Shell Sort,10000,reverse,15.0762
Radix Sort,10000,reverse,16.0286
Quick Sort,100000,random,239.9822
Merge Sort,100000,random,345.2633
Heap Sort,100000,random,545.3582
Shell Sort,100000,random,545.663
Radix Sort,100000,random,308.8266
Quick Sort,100000,partial,243.1824
Merge Sort,100000,partial,170.8713
Heap Sort,100000,partial,539.8789
Shell Sort,100000,partial,341.7926
Radix Sort,100000,partial,258.9626
Quick Sort,100000,reverse,374.008
Merge Sort,100000,reverse,518.9119
Heap Sort,100000,reverse,690.7528
Shell Sort,100000,reverse,255.9665
Radix Sort,100000,reverse,340.317
